名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
統計區原住民戶數統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:05:13,https://odportal.tw/dataset/9dSnxir2,https://data.gov.tw/dataset/18651,真資料,44,2,,1260,,xml
愛部落熱點清單,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/5/26 下午 03:39:10,https://odportal.tw/dataset/lsy-w5g6,https://data.gov.tw/dataset/164022,真資料,3,2,,1970,,json;text
新北市各區原住民人數統計表,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:03,https://odportal.tw/dataset/4d73Hz2n,https://data.gov.tw/dataset/124962,真資料,1,1,,29,,text
新北市各區區公所原住民服務窗口,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:47,https://odportal.tw/dataset/aCWzEqLk,https://data.gov.tw/dataset/124888,真資料,1,1,,29,,text
新北市政府原住民族進用統計表,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/8 上午 12:00:33,https://odportal.tw/dataset/nxrQme2W,https://data.gov.tw/dataset/125862,真資料,1,1,,2,,text
新北市原民團體資料,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/29 下午 01:43:02,https://odportal.tw/dataset/XFpC6rtD,https://data.gov.tw/dataset/124724,真資料,1,1,,86,,text
新北市原住民族別人數排行榜統計表,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:18,https://odportal.tw/dataset/-Sn81QwG,https://data.gov.tw/dataset/124568,真資料,1,1,,2,,text
新竹縣各年度原住民鄉鎮辦理調解業務概況,政府開放資料平臺,,XLSX;CSV;XML;JSON,4,OGDL-1.0,2026/4/22 上午 10:35:27,https://odportal.tw/dataset/Pc6_DgT7,https://data.gov.tw/dataset/46531,真資料,4,2,,57,,json;zip
新竹縣各鄉鎮市現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,XLSX;CSV;XML,3,OGDL-1.0,2025/9/21 下午 07:20:21,https://odportal.tw/dataset/hAewinSJ,https://data.gov.tw/dataset/109370,真資料,3,2,,126,,xml;zip
新竹縣原住民族家庭服務中心,政府開放資料平臺,,XLSX;CSV;XML;JSON,4,OGDL-1.0,2024/10/14 下午 01:27:55,https://odportal.tw/dataset/LYs6XVq-,https://data.gov.tw/dataset/112014,二進位,4,2,,3,網址,json;zip
新竹縣原住民部落文化健康站,政府開放資料平臺,,XLSX;CSV;XML;JSON,4,OGDL-1.0,2024/10/14 下午 03:46:01,https://odportal.tw/dataset/cvZEBRaV,https://data.gov.tw/dataset/130809,真資料,4,2,,25,,json;zip
新原住民族音樂專輯介紹,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/3 上午 12:18:11,https://odportal.tw/dataset/5ifQBRro,https://data.gov.tw/dataset/112699,真資料,3,2,,36,,json;text
補助原住民族長者裝置假牙實施計畫醫療院所,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 05:01:08,https://odportal.tw/dataset/-a1vZeKR,https://data.gov.tw/dataset/174217,真資料,3,2,,1777,,json;text
補助經濟弱勢原住民建購及修繕住宅核定戶數,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 05:11:00,https://odportal.tw/dataset/Kk0wuSKd,https://data.gov.tw/dataset/129522,真資料,3,2,,28,,json;text
補助辦理原住民族傳統智慧創作保護人才培育計畫彙整表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:52:31,https://odportal.tw/dataset/KkgYfMgv,https://data.gov.tw/dataset/137777,真資料,3,2,,16,,json;text
補辦增劃編原住民保留地行政院核定筆數及面積,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:50:02,https://odportal.tw/dataset/8IbkkKhm,https://data.gov.tw/dataset/73709,真資料,3,2,,6,,json;text
補辦增劃編原住民保留地清冊統計表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:49:55,https://odportal.tw/dataset/vMV_r4XC,https://data.gov.tw/dataset/145150,真資料,3,2,,74,,json;text
資賦優異原住民族學生人數統計-按地區別與性別,政府開放資料平臺,,CSV,3,OGDL-1.0,2026/5/14 下午 02:51:00,https://odportal.tw/dataset/XhqpdECA,https://data.gov.tw/dataset/157980,真資料,3,2,,22,,text
資賦優異類原住民子女統計-按族群,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/5/14 下午 02:45:06,https://odportal.tw/dataset/a66BK2Hm,https://data.gov.tw/dataset/157979,真資料,1,1,,22,,text
嘉義市原住民團體名冊,政府開放資料平臺,,CSV,1,OGDL-1.0,2023/4/6 上午 10:59:22,https://odportal.tw/dataset/7xCzF723,https://data.gov.tw/dataset/52450,真資料,1,1,,2,,text
嘉義縣各鄉鎮市原住民族群人口統計,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/1 下午 02:09:01,https://odportal.tw/dataset/cOIXZmmJ,https://data.gov.tw/dataset/122668,失效,1,1,,,,
